rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,eval/mean_reward,eval/mean_ep_length
10.91,8192,1,755,1.7145707800000003,10,,,,,,,,,,,,,
10.89,16384,2,507,1.7114650800000002,32,0.2,-0.29343655705451965,-28.4842505723238,-0.004825121483008843,0.003969508646241593,0.0149833355,1.0055512189865112,10,0.19324951171875,0.0003,-0.4008610248565674,,
10.92,24576,3,456,1.7161885799999999,53,0.2,-0.3004278540611267,-28.53472099006176,-0.00817892435916292,0.0014835488439416621,0.019156914,1.0087790489196777,20,0.2559326171875,0.0003,0.9878239631652832,,
10.95,32768,4,434,1.7209792000000004,75,0.2,-0.26597049832344055,-28.64422826617956,-0.014644547285934095,0.001083263406110291,0.02794126,1.0151681900024414,30,0.35308837890625,0.0003,0.9958974719047546,,
,40000,,,,,0.2,-0.3107154071331024,-28.79059271067381,-0.014235440795528121,0.0008080959505434749,0.032902602,1.0236376523971558,40,0.3610107421875,0.0003,0.9970594644546509,1.72898,11.0
10.93,40960,5,421,1.7179289299999996,97,,,,,,,,,,,,,
10.98,49152,6,417,1.72584844,117,0.2,-0.31616419553756714,-28.940048785507678,-0.011766687370254658,0.005160967957692719,0.031466417,1.0306295156478882,50,0.37869873046875,0.0003,0.9809087514877319,,
10.98,57344,7,414,1.7258905200000003,138,0.2,-0.2906794250011444,-29.066151601076125,-0.014183367766599985,0.0005223886488977314,0.0339081,1.0371456146240234,60,0.3690673828125,0.0003,0.9970807433128357,,
11.0,65536,8,409,1.7290740400000002,160,0.2,-0.2385730743408203,-29.22704683840275,-0.012842082935821963,0.0002787451715050793,0.027806602,1.0464017391204834,70,0.33321533203125,0.0003,0.9988476634025574,,
11.0,73728,9,404,1.72916649,182,0.2,-0.2716052532196045,-29.378022722899914,-0.015095271270547527,0.00021203278895427503,0.027674586,1.053356409072876,80,0.34456787109375,0.0003,0.9991722702980042,,
,80000,,,,,0.2,-0.29664191603660583,-29.465905717015268,-0.011086925611016341,0.00022204274914940924,0.027128568,1.0574442148208618,90,0.3194580078125,0.0003,0.9990152716636658,1.729609,11.0
